Unnamed: 0,id,scrape_id,host_id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,availability_eoy,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location
1461,26161854,20250609011815,98693456,29.96596,-90.06167,Marigny,,Entire rental unit,Entire home/apt,2016-10-07,,,,,,5,5,t,t,4,,1 bath,1.0,,"[""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Hot water"", ""Wifi"", ""Air conditioning"", ""TV with standard cable"", ""Stove"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Refrigerator"", ""Lockbox"", ""Bed linens"", ""Hair dryer"", ""First aid kit"", ""Exterior security cameras on property"", ""Oven"", ""Fire extinguisher"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Hangers"", ""Iron"", ""Cooking basics"", ""Private entrance""]",,30,1125,30,30,1125,1125,30.0,1125.0,t,0,0,0,0,0,60,0,0,0,0.71,4.77,4.9,4.9,4.83,4.8
1463,26227900,20250609011815,197105633,29.93379,-90.10433,Uptown,,Entire rental unit,Entire home/apt,2018-06-21,"New Orleans, LA",within an hour,100%,96%,t,1,1,t,f,4,,1 bath,2.0,,"[""Indoor fireplace"", ""Books and reading material"", ""Dishes and silverware"", ""Heating"", ""Carbon monoxide alarm"", ""Central air conditioning"", ""Hot water"", ""Room-darkening shades"", ""Wifi"", ""Fireplace guards"", ""Dryer"", ""Stove"", ""Ceiling fan"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Sound system"", ""Microwave"", ""Toaster"", ""Refrigerator"", ""Drying rack for clothing"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""Free parking on premises"", ""First aid kit"", ""Washer"", ""Freezer"", ""Oven"", ""Fire extinguisher"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Body soap"", ""Ethernet connection"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Shared patio or balcony"", ""Hot water kettle"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Baking sheet"", ""Dining table"", ""32 inch HDTV"", ""Cooking basics"", ""Wine glasses"", ""Coffee"", ""Private entrance"", ""Clothing storage: wardrobe"", ""Keypad""]",,4,30,4,4,1125,1125,4.0,1125.0,,0,0,0,0,0,186,15,1,20,2.19,4.93,4.95,4.85,4.84,4.9
1466,26285501,20250609011815,162629674,29.95738,-90.11647,Marlyville - Fontainbleau,,Entire rental unit,Entire home/apt,2017-12-14,"New Orleans, LA",,,88%,t,2,4,t,t,2,1.0,1 bath,1.0,1.0,"[""Dishes and silverware"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Air conditioning"", ""Dryer"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Refrigerator"", ""Lockbox"", ""Hair dryer"", ""Free parking on premises"", ""First aid kit"", ""Washer"", ""Backyard"", ""Fire extinguisher"", ""TV"", ""Dedicated workspace"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Hangers"", ""Iron"", ""Breakfast"", ""Private entrance"", ""Patio or balcony""]",$132.00,30,1125,30,30,1125,1125,30.0,1125.0,t,29,59,89,179,179,67,0,0,1,0.87,4.87,4.87,4.99,4.97,4.96
1467,26297936,20250609011815,832062,29.963890075683594,-90.05384063720703,Marigny,,Entire rental unit,Entire home/apt,2011-07-17,"New Orleans, LA",within an hour,100%,96%,t,3,4,t,t,4,,2 baths,2.0,,"[""Books and reading material"", ""Yes To conditioner"", ""Dishes and silverware"", ""Record player"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Hot water"", ""Mini fridge"", ""Wifi"", ""Private patio or balcony"", ""Air conditioning"", ""Outdoor furniture"", ""Dryer"", ""Stove"", ""Ceiling fan"", ""Outdoor dining area"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Toaster"", ""Microwave"", ""Clothing storage: closet, wardrobe, and dresser"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Lockbox"", ""Bed linens"", ""Hair dryer"", ""Fire extinguisher"", ""TV"", ""Dedicated workspace"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Olay body soap"", ""Cleaning products"", ""Free washer \u2013 In building"", ""Bathtub"", ""Cooking basics"", ""Wine glasses"", ""Coffee"", ""Private entrance"", ""Freezer""]",,30,90,3,30,90,90,29.3,90.0,t,0,0,0,0,0,5,2,0,0,0.07,5.0,5.0,4.8,5.0,5.0
1471,26368293,20250609011815,5743364,29.96959,-90.05056,St. Roch,,Entire guest suite,Entire home/apt,2013-04-02,"Winter Garden, FL",within an hour,100%,99%,t,2,3,t,t,2,1.0,1 bath,1.0,1.0,"[""Books and reading material"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Shower gel"", ""Hot water"", ""Room-darkening shades"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor furniture"", ""Clothing storage: closet and dresser"", ""Portable fans"", ""Stove"", ""Ceiling fan"", ""Outdoor dining area"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Toaster"", ""Microwave"", ""Window AC unit"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Bed linens"", ""Hair dryer"", ""First aid kit"", ""42 inch HDTV with Chromecast"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Oven"", ""Body soap"", ""Laundromat nearby"", ""Kitchen"", ""Single level home"", ""Essentials"", ""Free street parking"", ""Hot water kettle"", ""Hangers"", ""Extra pillows and blankets"", ""Fire pit"", ""Iron"", ""Cleaning products"", ""Baking sheet"", ""Conditioner"", ""Dining table"", ""Cooking basics"", ""Wine glasses"", ""Coffee"", ""Private entrance"", ""Patio or balcony"", ""Freezer"", ""Keypad""]",$59.00,1,730,1,1,1125,1125,1.0,1125.0,t,16,42,69,187,156,220,34,0,34,2.6,4.79,4.85,4.85,4.93,4.42
1472,26368909,20250609011815,162629674,29.95529,-90.11773,Marlyville - Fontainbleau,,Entire rental unit,Entire home/apt,2017-12-14,"New Orleans, LA",,,88%,t,2,4,t,t,4,1.0,1 bath,1.0,2.0,"[""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Air conditioning"", ""Children\u2019s dinnerware"", ""Dryer"", ""Stove"", ""Outlet covers"", ""Coffee maker"", ""Self check-in"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Lockbox"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""Free parking on premises"", ""First aid kit"", ""Washer"", ""Oven"", ""Children\u2019s books and toys"", ""Babysitter recommendations"", ""TV"", ""Fire extinguisher"", ""Kitchen"", ""Single level home"", ""Essentials"", ""Free street parking"", ""High chair"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Baby bath"", ""Bathtub"", ""Baby monitor"", ""Cooking basics"", ""Private entrance"", ""Pack \u2019n play/Travel crib""]",$128.00,30,1125,30,30,1125,1125,30.0,1125.0,t,26,51,81,171,171,151,4,0,12,1.78,4.97,4.91,4.96,4.97,4.93
1478,26470296,20250609011815,37614659,29.93411,-90.07201,Lower Garden District,,Entire rental unit,Entire home/apt,2015-07-05,"New Orleans, LA",within an hour,100%,100%,t,10,12,t,t,4,1.0,1 bath,2.0,2.0,"[""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Shower gel"", ""Hot water"", ""Room-darkening shades"", ""Wifi"", ""Air conditioning"", ""Outdoor furniture"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib - available upon request"", ""Baby bath - available upon request"", ""Stove"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Refrigerator"", ""Lockbox"", ""Clothing storage: closet"", ""Bed linens"", ""Hair dryer"", ""Dishwasher"", ""Fire extinguisher"", ""Dedicated workspace"", ""Body soap"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Hot water kettle"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Conditioner"", ""Bathtub"", ""Dining table"", ""Cooking basics"", ""Wine glasses"", ""Patio or balcony"", ""Freezer""]",$112.00,2,1124,2,3,300,1125,2.4,1122.7,t,16,42,72,322,164,287,36,2,39,3.39,4.96,4.95,4.98,4.95,4.95
1479,26487658,20250609011815,16434587,29.97232,-90.07604,Treme - Lafitte,,Entire guest suite,Entire home/apt,2014-06-05,"New Orleans, LA",within a few hours,100%,100%,f,1,1,t,f,4,1.0,1 bath,2.0,4.0,"[""Indoor fireplace"", ""Books and reading material"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Shower gel"", ""Hot water"", ""Wifi"", ""Air conditioning"", ""Self check-in"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Lockbox"", ""Bed linens"", ""Hair dryer"", ""Fire extinguisher"", ""Body soap"", ""Single level home"", ""Essentials"", ""Free street parking"", ""Hangers"", ""Iron"", ""Cleaning products"", ""Conditioner"", ""Bathtub"", ""Cooking basics"", ""Private entrance"", ""Clothing storage""]",$118.00,30,30,30,30,30,30,30.0,30.0,t,0,15,45,225,153,127,1,0,3,1.54,4.92,4.95,4.98,4.98,4.72
1482,26522514,20250609011815,48466627,29.94776,-90.11946,Audubon,,Entire guest suite,Entire home/apt,2015-11-08,"New Orleans, LA",within an hour,100%,100%,t,1,1,t,t,2,1.0,1 bath,1.0,1.0,"[""32 inch HDTV with Amazon Prime Video, Netflix, Roku"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Central air conditioning"", ""Shower gel"", ""Hot water"", ""Mini fridge"", ""Room-darkening shades"", ""Wifi"", ""Private patio or balcony"", ""Outdoor furniture"", ""Ceiling fan"", ""Outdoor dining area"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Toaster"", ""Microwave"", ""Window AC unit"", ""Refrigerator"", ""Bed linens"", ""Hair dryer"", ""First aid kit"", ""Freezer"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Body soap"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Hot water kettle"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Garden view"", ""Cleaning products"", ""Conditioner"", ""Wine glasses"", ""Private entrance"", ""Clothing storage: wardrobe"", ""Shared BBQ grill: gas"", ""Keypad""]",$106.00,3,30,1,3,1125,1125,3.0,1125.0,t,3,29,29,160,100,144,17,1,15,1.7,4.99,4.98,4.97,4.99,4.93
1484,26556038,20250609011815,16694390,29.96764,-90.03702,St. Claude,,Private room in home,Private room,2016-05-20,"New Orleans, LA",within an hour,100%,85%,f,3,8,t,t,2,1.0,1 private bath,1.0,2.0,"[""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Smoking allowed"", ""Shower gel"", ""Hot water"", ""Room-darkening shades"", ""Wifi"", ""Air conditioning"", ""Outdoor furniture"", ""Dryer"", ""Ceiling fan"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Sound system"", ""Microwave"", ""Toaster"", ""Pets allowed"", ""Refrigerator"", ""Drying rack for clothing"", ""Luggage dropoff allowed"", ""Bed linens"", ""Hair dryer"", ""First aid kit"", ""Washer"", ""Backyard"", ""Fire extinguisher"", ""TV"", ""Dedicated workspace"", ""Body soap"", ""Single level home"", ""Essentials"", ""Free street parking"", ""Lock on bedroom door"", ""Shared patio or balcony"", ""Hot water kettle"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Conditioner"", ""Bathtub"", ""Dining table"", ""Coffee"", ""Wine glasses"", ""Clothing storage"", ""Freezer""]",$116.00,2,30,2,2,30,30,2.0,30.0,t,1,5,35,35,35,83,11,0,12,0.98,5.0,4.98,4.96,5.0,4.92
